ejecutable;cantidadArchivo;tiempo;
rabinkarpSearch;40;9.26973;2818725
rabinkarpSearch;40;9.27122;2818725
rabinkarpSearch;40;9.26946;2818725
rabinkarpSearch;40;9.27105;2818725
rabinkarpSearch;40;9.27304;2818725
rabinkarpSearch;40;9.27371;2818725
rabinkarpSearch;40;9.274;2818725
rabinkarpSearch;40;9.27097;2818725
rabinkarpSearch;40;9.27649;2818725
rabinkarpSearch;40;9.27011;2818725
rabinkarpSearch;40;9.27182;2818725
rabinkarpSearch;40;9.27389;2818725
rabinkarpSearch;40;9.26947;2818725
rabinkarpSearch;40;9.27517;2818725
rabinkarpSearch;40;9.26963;2818725
rabinkarpSearch;40;9.27293;2818725
rabinkarpSearch;40;9.26587;2818725
rabinkarpSearch;40;9.27131;2818725
rabinkarpSearch;40;9.26509;2818725
rabinkarpSearch;40;9.28573;2818725
suffixArrayBuild;10;96.2755;
suffixArrayBuild;20;211.303;
suffixArrayBuild;30;372.627;
suffixArrayBuild;40;590.207;
suffixArraySearch;10;0.964092;703546
suffixArraySearch;10;0.963159;1407092
suffixArraySearch;10;0.962654;2110638
suffixArraySearch;10;0.963648;2814184
suffixArraySearch;10;0.959854;3517730
suffixArraySearch;10;0.962675;4221276
suffixArraySearch;10;0.963784;4924822
suffixArraySearch;10;0.96294;5628368
suffixArraySearch;10;0.962829;6331914
suffixArraySearch;10;0.962449;7035460
suffixArraySearch;10;0.963653;7739006
suffixArraySearch;10;0.963205;8442552
suffixArraySearch;10;0.96252;9146098
suffixArraySearch;10;0.963293;9849644
suffixArraySearch;10;0.964953;10553190
suffixArraySearch;10;0.962796;11256736
suffixArraySearch;10;0.962866;11960282
suffixArraySearch;10;0.962946;12663828
suffixArraySearch;10;0.963893;13367374
suffixArraySearch;10;0.96278;14070920
suffixArraySearch;20;1.9089;1415526
suffixArraySearch;20;1.90937;2831052
suffixArraySearch;20;1.90815;4246578
suffixArraySearch;20;1.90731;5662104
suffixArraySearch;20;1.90882;7077630
suffixArraySearch;20;1.90886;8493156
suffixArraySearch;20;1.90979;9908682
suffixArraySearch;20;1.91195;11324208
suffixArraySearch;20;1.90848;12739734
suffixArraySearch;20;1.90875;14155260
suffixArraySearch;20;1.90834;15570786
suffixArraySearch;20;1.90842;16986312
suffixArraySearch;20;1.90945;18401838
suffixArraySearch;20;1.90828;19817364
suffixArraySearch;20;1.90862;21232890
suffixArraySearch;20;1.90962;22648416
suffixArraySearch;20;1.90958;24063942
suffixArraySearch;20;1.91038;25479468
suffixArraySearch;20;1.91004;26894994
suffixArraySearch;20;1.90892;28310520
suffixArraySearch;30;2.78417;2113203
suffixArraySearch;30;2.78395;4226406
suffixArraySearch;30;2.78243;6339609
suffixArraySearch;30;2.77994;8452812
suffixArraySearch;30;2.78053;10566015
suffixArraySearch;30;2.77964;12679218
suffixArraySearch;30;2.78057;14792421
suffixArraySearch;30;2.78095;16905624
suffixArraySearch;30;2.7803;19018827
suffixArraySearch;30;2.7804;21132030
suffixArraySearch;30;2.77954;23245233
suffixArraySearch;30;2.78157;25358436
suffixArraySearch;30;2.77885;27471639
suffixArraySearch;30;2.78155;29584842
suffixArraySearch;30;2.77855;31698045
suffixArraySearch;30;2.78663;33811248
suffixArraySearch;30;2.78252;35924451
suffixArraySearch;30;2.78102;38037654
suffixArraySearch;30;2.78033;40150857
suffixArraySearch;30;2.77988;42264060
suffixArraySearch;40;3.83734;2818725
suffixArraySearch;40;3.83467;5637450
suffixArraySearch;40;3.83522;8456175
suffixArraySearch;40;3.83509;11274900
suffixArraySearch;40;3.83455;14093625
suffixArraySearch;40;3.83963;16912350
suffixArraySearch;40;3.84294;19731075
suffixArraySearch;40;3.83861;22549800
suffixArraySearch;40;3.83522;25368525
suffixArraySearch;40;3.83566;28187250
suffixArraySearch;40;3.83512;31005975
suffixArraySearch;40;3.83626;33824700
suffixArraySearch;40;3.83626;36643425
suffixArraySearch;40;3.83576;39462150
suffixArraySearch;40;3.83599;42280875
suffixArraySearch;40;3.83599;45099600
suffixArraySearch;40;3.83823;47918325
suffixArraySearch;40;3.83877;50737050
suffixArraySearch;40;3.83539;53555775
suffixArraySearch;40;3.83456;56374500
