ejecutable;cantidadPatron;tiempo;
boyermooreSearch-largo;2000;22.0381;350
boyermooreSearch-largo;2000;22.0556;350
boyermooreSearch-largo;2000;22.0563;350
boyermooreSearch-largo;2000;22.0408;350
boyermooreSearch-largo;2000;22.0498;350
boyermooreSearch-largo;2000;22.0482;350
boyermooreSearch-largo;2000;22.0575;350
boyermooreSearch-largo;2000;22.0484;350
boyermooreSearch-largo;2000;22.0553;350
boyermooreSearch-largo;2000;22.0612;350
boyermooreSearch-largo;2000;22.071;350
boyermooreSearch-largo;2000;22.0383;350
boyermooreSearch-largo;2000;22.064;350
boyermooreSearch-largo;2000;22.0623;350
kmpSearch-corto;100;1.90068;855990
kmpSearch-corto;100;1.89913;855990
kmpSearch-corto;100;1.89785;855990
kmpSearch-corto;100;1.89942;855990
kmpSearch-corto;100;1.89838;855990
kmpSearch-corto;100;1.8962;855990
kmpSearch-corto;100;1.8994;855990
kmpSearch-corto;100;1.89896;855990
kmpSearch-corto;100;1.89784;855990
kmpSearch-corto;100;1.9002;855990
kmpSearch-corto;100;1.89808;855990
kmpSearch-corto;100;1.89758;855990
kmpSearch-corto;100;1.8991;855990
kmpSearch-corto;100;1.89882;855990
kmpSearch-corto;100;1.89966;855990
kmpSearch-corto;100;1.89787;855990
kmpSearch-corto;100;1.89956;855990
kmpSearch-corto;100;1.89881;855990
kmpSearch-corto;100;1.89656;855990
kmpSearch-corto;100;1.89724;855990
kmpSearch-corto;200;3.70571;1540579
kmpSearch-corto;200;3.70226;1540579
kmpSearch-corto;200;3.705;1540579
kmpSearch-corto;200;3.70515;1540579
kmpSearch-corto;200;3.70319;1540579
kmpSearch-corto;200;3.70393;1540579
kmpSearch-corto;200;3.70291;1540579
kmpSearch-corto;200;3.70415;1540579
kmpSearch-corto;200;3.70474;1540579
kmpSearch-corto;200;3.70187;1540579
kmpSearch-corto;200;3.70392;1540579
kmpSearch-corto;200;3.70544;1540579
kmpSearch-corto;200;3.70113;1540579
kmpSearch-corto;200;3.70502;1540579
kmpSearch-corto;200;3.70227;1540579
kmpSearch-corto;200;3.71262;1540579
kmpSearch-corto;200;3.70489;1540579
kmpSearch-corto;200;3.7032;1540579
kmpSearch-corto;200;3.7041;1540579
kmpSearch-corto;200;3.70367;1540579
kmpSearch-corto;300;5.72468;2257512
kmpSearch-corto;300;5.72687;2257512
kmpSearch-corto;300;5.72533;2257512
kmpSearch-corto;300;5.72531;2257512
kmpSearch-corto;300;5.72759;2257512
kmpSearch-corto;300;5.72446;2257512
kmpSearch-corto;300;5.72378;2257512
kmpSearch-corto;300;5.72652;2257512
kmpSearch-corto;300;5.7247;2257512
kmpSearch-corto;300;5.72404;2257512
kmpSearch-corto;300;5.72418;2257512
kmpSearch-corto;300;5.7213;2257512
kmpSearch-corto;300;5.77363;2257512
kmpSearch-corto;300;5.72678;2257512
kmpSearch-corto;300;5.72482;2257512
kmpSearch-corto;300;5.72492;2257512
kmpSearch-corto;300;5.72461;2257512
kmpSearch-corto;300;5.72534;2257512
kmpSearch-corto;300;5.72502;2257512
kmpSearch-corto;300;5.72644;2257512
kmpSearch-corto;500;9.41963;4040073
kmpSearch-corto;500;9.42175;4040073
kmpSearch-corto;500;9.42171;4040073
kmpSearch-corto;500;9.425;4040073
kmpSearch-corto;500;9.42285;4040073
kmpSearch-corto;500;9.42229;4040073
kmpSearch-corto;500;9.42479;4040073
kmpSearch-corto;500;9.42696;4040073
kmpSearch-corto;500;9.42972;4040073
kmpSearch-corto;500;9.4212;4040073
kmpSearch-corto;500;9.42581;4040073
kmpSearch-corto;500;9.42363;4040073
kmpSearch-corto;500;9.41896;4040073
kmpSearch-corto;500;9.42781;4040073
kmpSearch-corto;500;9.45105;4040073
kmpSearch-corto;500;9.4242;4040073
kmpSearch-corto;500;9.42262;4040073
kmpSearch-corto;500;9.42194;4040073
kmpSearch-corto;500;9.41986;4040073
kmpSearch-corto;500;9.42353;4040073
kmpSearch-corto;1000;18.9146;7911414
kmpSearch-corto;1000;18.9;7911414
kmpSearch-corto;1000;18.9031;7911414
kmpSearch-corto;1000;18.9028;7911414
kmpSearch-corto;1000;18.9077;7911414
kmpSearch-corto;1000;18.9059;7911414
kmpSearch-corto;1000;18.908;7911414
kmpSearch-corto;1000;18.9115;7911414
kmpSearch-corto;1000;18.9018;7911414
kmpSearch-corto;1000;18.9012;7911414
kmpSearch-corto;1000;18.9814;7911414
kmpSearch-corto;1000;18.9089;7911414
kmpSearch-corto;1000;19.0376;7911414
kmpSearch-corto;1000;18.9041;7911414
kmpSearch-corto;1000;18.9033;7911414
kmpSearch-corto;1000;18.9007;7911414
kmpSearch-corto;1000;18.9129;7911414
kmpSearch-corto;1000;18.9033;7911414
kmpSearch-corto;1000;18.9133;7911414
kmpSearch-corto;1000;18.9041;7911414
kmpSearch-corto;2000;37.9441;15945820
kmpSearch-corto;2000;37.9374;15945820
kmpSearch-corto;2000;37.9398;15945820
kmpSearch-corto;2000;37.9301;15945820
kmpSearch-corto;2000;37.9367;15945820
kmpSearch-corto;2000;37.9416;15945820
kmpSearch-corto;2000;37.9354;15945820
kmpSearch-corto;2000;37.9543;15945820
kmpSearch-corto;2000;37.9288;15945820
kmpSearch-corto;2000;37.9487;15945820
kmpSearch-corto;2000;37.9324;15945820
kmpSearch-corto;2000;37.9414;15945820
kmpSearch-corto;2000;37.9338;15945820
kmpSearch-corto;2000;52.74;15945820
kmpSearch-corto;2000;37.9254;15945820
kmpSearch-corto;2000;37.908;15945820
kmpSearch-corto;2000;38.2332;15945820
kmpSearch-corto;2000;38.0867;15945820
kmpSearch-corto;2000;37.9223;15945820
kmpSearch-corto;2000;37.9225;15945820
kmpSearch-largo;100;1.83865;20
kmpSearch-largo;100;1.83731;20
kmpSearch-largo;100;1.83735;20
kmpSearch-largo;100;1.84124;20
kmpSearch-largo;100;1.83972;20
kmpSearch-largo;100;1.83751;20
kmpSearch-largo;100;1.83755;20
kmpSearch-largo;100;1.84354;20
kmpSearch-largo;100;1.83703;20
kmpSearch-largo;100;1.83754;20
kmpSearch-largo;100;1.84011;20
kmpSearch-largo;100;1.83781;20
kmpSearch-largo;100;1.83756;20
kmpSearch-largo;100;1.83814;20
kmpSearch-largo;100;1.84363;20
kmpSearch-largo;100;1.84327;20
kmpSearch-largo;100;1.83775;20
kmpSearch-largo;100;1.83717;20
kmpSearch-largo;100;1.83723;20
kmpSearch-largo;100;1.83831;20
kmpSearch-largo;200;3.74454;40
kmpSearch-largo;200;3.74826;40
kmpSearch-largo;200;3.7433;40
kmpSearch-largo;200;3.74625;40
kmpSearch-largo;200;3.74599;40
kmpSearch-largo;200;3.74612;40
kmpSearch-largo;200;3.747;40
kmpSearch-largo;200;3.74527;40
kmpSearch-largo;200;3.74474;40
kmpSearch-largo;200;3.75419;40
kmpSearch-largo;200;3.74605;40
kmpSearch-largo;200;3.7497;40
kmpSearch-largo;200;3.74662;40
kmpSearch-largo;200;3.74498;40
kmpSearch-largo;200;3.74287;40
kmpSearch-largo;200;3.74508;40
kmpSearch-largo;200;3.74339;40
kmpSearch-largo;200;3.74613;40
kmpSearch-largo;200;3.74654;40
kmpSearch-largo;300;5.53852;61
kmpSearch-largo;300;5.53703;61
kmpSearch-largo;300;5.5385;61
kmpSearch-largo;300;5.53586;61
kmpSearch-largo;300;5.53832;61
kmpSearch-largo;300;5.53865;61
kmpSearch-largo;300;5.53675;61
kmpSearch-largo;300;5.53406;61
kmpSearch-largo;300;5.54003;61
kmpSearch-largo;300;5.53636;61
kmpSearch-largo;300;5.53825;61
kmpSearch-largo;300;5.54036;61
kmpSearch-largo;300;5.53904;61
kmpSearch-largo;300;5.53484;61
kmpSearch-largo;300;5.5393;61
kmpSearch-largo;300;5.5378;61
kmpSearch-largo;300;5.53876;61
kmpSearch-largo;300;5.54017;61
kmpSearch-largo;300;5.53923;61
kmpSearch-largo;300;5.53492;61
kmpSearch-largo;500;9.38108;100
kmpSearch-largo;500;9.38451;100
kmpSearch-largo;500;9.38166;100
kmpSearch-largo;500;9.37647;100
kmpSearch-largo;500;9.37832;100
