ejecutable;tamañoPatron;tiempo;
rabinkarpSearch;2000;42.6361;0
rabinkarpSearch;2000;42.6194;0
rabinkarpSearch;2000;42.6396;0
rabinkarpSearch;2000;42.6319;0
suffixArrayBuild;100;6.0321;
suffixArrayBuild;200;6.03396;
suffixArrayBuild;300;6.03101;
suffixArrayBuild;500;6.076;
suffixArrayBuild;1000;6.06664;
suffixArrayBuild;2000;6.08349;
suffixArraySearch;100;0.142322;0
suffixArraySearch;100;0.135192;0
suffixArraySearch;100;0.133722;0
suffixArraySearch;100;0.132929;0
suffixArraySearch;100;0.13292;0
suffixArraySearch;100;0.132427;0
suffixArraySearch;100;0.131852;0
suffixArraySearch;100;0.131792;0
suffixArraySearch;100;0.132872;0
suffixArraySearch;100;0.132128;0
suffixArraySearch;100;0.13145;0
suffixArraySearch;100;0.131355;0
suffixArraySearch;100;0.131589;0
suffixArraySearch;100;0.132455;0
suffixArraySearch;100;0.131613;0
suffixArraySearch;100;0.13143;0
suffixArraySearch;100;0.131536;0
suffixArraySearch;100;0.132562;0
suffixArraySearch;100;0.131638;0
suffixArraySearch;100;0.131422;0
suffixArraySearch;200;0.276907;0
suffixArraySearch;200;0.266971;0
suffixArraySearch;200;0.265637;0
suffixArraySearch;200;0.264648;0
suffixArraySearch;200;0.264046;0
suffixArraySearch;200;0.264442;0
suffixArraySearch;200;0.262941;0
suffixArraySearch;200;0.262637;0
suffixArraySearch;200;0.262362;0
suffixArraySearch;200;0.261989;0
suffixArraySearch;200;0.261797;0
suffixArraySearch;200;0.261722;0
suffixArraySearch;200;0.261598;0
suffixArraySearch;200;0.261752;0
suffixArraySearch;200;0.261876;0
suffixArraySearch;200;0.261763;0
suffixArraySearch;200;0.261945;0
suffixArraySearch;200;0.262196;0
suffixArraySearch;200;0.261686;0
suffixArraySearch;200;0.261913;0
suffixArraySearch;300;0.409445;0
suffixArraySearch;300;0.396142;0
suffixArraySearch;300;0.39448;0
suffixArraySearch;300;0.393352;0
suffixArraySearch;300;0.39276;0
suffixArraySearch;300;0.393661;0
suffixArraySearch;300;0.393848;0
suffixArraySearch;300;0.393946;0
suffixArraySearch;300;0.394127;0
suffixArraySearch;300;0.394483;0
suffixArraySearch;300;0.394123;0
suffixArraySearch;300;0.394026;0
suffixArraySearch;300;0.394193;0
suffixArraySearch;300;0.394535;0
suffixArraySearch;300;0.393952;0
suffixArraySearch;300;0.394611;0
suffixArraySearch;300;0.394791;0
suffixArraySearch;300;0.394498;0
suffixArraySearch;300;0.394715;0
suffixArraySearch;300;0.394829;0
suffixArraySearch;500;0.679521;0
suffixArraySearch;500;0.666681;0
suffixArraySearch;500;0.666068;0
suffixArraySearch;500;0.664984;0
suffixArraySearch;500;0.664204;0
suffixArraySearch;500;0.663895;0
suffixArraySearch;500;0.663835;0
suffixArraySearch;500;0.663296;0
suffixArraySearch;500;0.663257;0
suffixArraySearch;500;0.662768;0
suffixArraySearch;500;0.663142;0
suffixArraySearch;500;0.663207;0
suffixArraySearch;500;0.663524;0
suffixArraySearch;500;0.663222;0
suffixArraySearch;500;0.663038;0
suffixArraySearch;500;0.662666;0
suffixArraySearch;500;0.663513;0
suffixArraySearch;500;0.663521;0
suffixArraySearch;500;0.663628;0
suffixArraySearch;500;0.663859;0
suffixArraySearch;1000;1.33578;0
suffixArraySearch;1000;1.31627;0
suffixArraySearch;1000;1.31506;0
suffixArraySearch;1000;1.31501;0
suffixArraySearch;1000;1.31387;0
suffixArraySearch;1000;1.31391;0
suffixArraySearch;1000;1.31402;0
suffixArraySearch;1000;1.31412;0
suffixArraySearch;1000;1.31357;0
suffixArraySearch;1000;1.31417;0
suffixArraySearch;1000;1.31308;0
suffixArraySearch;1000;1.31406;0
suffixArraySearch;1000;1.31456;0
suffixArraySearch;1000;1.31452;0
suffixArraySearch;1000;1.31508;0
suffixArraySearch;1000;1.31633;0
suffixArraySearch;1000;1.31487;0
suffixArraySearch;1000;1.31937;0
suffixArraySearch;1000;1.31922;0
suffixArraySearch;1000;1.31634;0
suffixArraySearch;2000;2.66726;0
suffixArraySearch;2000;2.63902;0
suffixArraySearch;2000;2.64012;0
suffixArraySearch;2000;2.63829;0
suffixArraySearch;2000;2.63749;0
suffixArraySearch;2000;2.63576;0
suffixArraySearch;2000;2.6362;0
suffixArraySearch;2000;2.63645;0
suffixArraySearch;2000;2.63706;0
suffixArraySearch;2000;2.63631;0
suffixArraySearch;2000;2.63721;0
suffixArraySearch;2000;2.63629;0
suffixArraySearch;2000;2.63739;0
suffixArraySearch;2000;2.63833;0
suffixArraySearch;2000;2.6376;0
suffixArraySearch;2000;2.63619;0
suffixArraySearch;2000;2.6371;0
suffixArraySearch;2000;2.63688;0
suffixArraySearch;2000;2.63759;0
suffixArraySearch;2000;2.64498;0
