ejecutable;tamañoPatron;tiempo;
kmpSearch;1000;18.7672;24400
kmpSearch;1000;18.7752;24400
kmpSearch;1000;18.7674;24400
kmpSearch;1000;18.7727;24400
kmpSearch;1000;18.775;24400
kmpSearch;1000;18.7722;24400
kmpSearch;1000;18.7663;24400
kmpSearch;1000;18.7768;24400
kmpSearch;1000;18.7672;24400
kmpSearch;1000;18.7805;24400
kmpSearch;2000;37.9528;65013
kmpSearch;2000;38.1694;65013
kmpSearch;2000;38.025;65013
kmpSearch;2000;37.9519;65013
kmpSearch;2000;37.9515;65013
kmpSearch;2000;37.9747;65013
kmpSearch;2000;37.975;65013
kmpSearch;2000;37.9428;65013
kmpSearch;2000;38.1243;65013
kmpSearch;2000;37.9666;65013
kmpSearch;2000;37.973;65013
kmpSearch;2000;37.9718;65013
kmpSearch;2000;37.9647;65013
kmpSearch;2000;37.9537;65013
kmpSearch;2000;37.9416;65013
rabinkarpSearch;100;2.13281;3513
rabinkarpSearch;100;2.13452;3513
rabinkarpSearch;100;2.13122;3513
rabinkarpSearch;100;2.12996;3513
rabinkarpSearch;100;2.12991;3513
rabinkarpSearch;100;2.13194;3513
rabinkarpSearch;100;2.13103;3513
rabinkarpSearch;100;2.13242;3513
rabinkarpSearch;100;2.13183;3513
rabinkarpSearch;100;2.13247;3513
rabinkarpSearch;100;2.12993;3513
rabinkarpSearch;100;2.13203;3513
rabinkarpSearch;100;2.1314;3513
rabinkarpSearch;100;2.13029;3513
rabinkarpSearch;100;2.13207;3513
rabinkarpSearch;100;2.13256;3513
rabinkarpSearch;100;2.13039;3513
rabinkarpSearch;100;2.13243;3513
rabinkarpSearch;100;2.13064;3513
rabinkarpSearch;100;2.13137;3513
rabinkarpSearch;200;4.26374;4711
rabinkarpSearch;200;4.25947;4711
rabinkarpSearch;200;4.26207;4711
rabinkarpSearch;200;4.26133;4711
rabinkarpSearch;200;4.25648;4711
rabinkarpSearch;200;4.2637;4711
rabinkarpSearch;200;4.26189;4711
rabinkarpSearch;200;4.2612;4711
rabinkarpSearch;200;4.26126;4711
rabinkarpSearch;200;4.25971;4711
rabinkarpSearch;200;4.2596;4711
rabinkarpSearch;200;4.26193;4711
